provedor_DSL,provedor_fibra,sem_servico_internet,contrato_anual,contrato_bienal,contrato_mensal,cliente_idoso,cliente_parceiro,cliente_dependentes,meses_contrato,linha_telefonica,multiplas_linhas,fatura_digital,fatura_mensal,genero_feminino,servicos_streaming,servicos_internet_adicionais,pagamento_manual
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,70.5,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,91.0,0.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,90.35,0.0,1.0,2.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,22.0,1.0,0.0,1.0,69.5,1.0,2.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,1.0,1.0,86.9,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,65.0,1.0,1.0,1.0,82.5,1.0,2.0,3.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,72.0,1.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,55.0,1.0,0.0,0.0,19.5,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,1.0,1.0,1.0,94.45,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,1.0,0.0,0.0,69.15,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,1.0,1.0,0.0,103.3,0.0,2.0,2.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,40.0,1.0,0.0,0.0,19.1,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,45.0,1.0,1.0,0.0,25.5,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,70.0,1.0,1.0,1.0,115.15,1.0,2.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,73.65,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,57.55,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,20.55,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,75.4,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,99.25,1.0,2.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,1.0,1.0,1.0,95.65,0.0,2.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,54.25,1.0,0.0,2.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,56.0,1.0,0.0,1.0,19.8,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,1.0,1.0,103.8,0.0,2.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.8,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,53.95,0.0,2.0,2.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,0.0,25.6,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,75.6,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.55,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,1.0,1.0,50.15,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29.2,1.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,67.0,1.0,0.0,1.0,20.05,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,1.0,1.0,76.9,0.0,1.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,50.15,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.0,1.0,1.0,1.0,104.1,0.0,2.0,2.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,84.3,0.0,0.0,2.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,1.0,0.0,115.55,1.0,2.0,4.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,41.0,1.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,0.0,0.0,1.0,45.0,0.0,0.0,4.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,72.0,1.0,1.0,1.0,84.1,1.0,2.0,3.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,25.25,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,19.25,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,67.0,1.0,1.0,0.0,87.4,0.0,0.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,86.5,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,0.0,0.0,1.0,45.0,1.0,1.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,44.65,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,19.45,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,67.0,1.0,1.0,1.0,105.7,1.0,2.0,2.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,47.0,1.0,0.0,0.0,20.25,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,1.0,20.05,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,19.55,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,1.0,0.0,1.0,87.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,19.25,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.0,1.0,20.15,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,79.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62.0,1.0,1.0,0.0,115.55,0.0,2.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,61.3,0.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,100.6,1.0,2.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,1.0,38.1,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,71.0,1.0,1.0,1.0,105.1,0.0,2.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,1.0,1.0,0.0,98.6,0.0,2.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,57.2,1.0,2.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,34.0,1.0,0.0,1.0,85.2,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,0.0,0.0,1.0,35.15,1.0,0.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,46.0,1.0,1.0,1.0,100.7,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,1.0,1.0,94.1,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4,1.0,2.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,45.9,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,67.0,1.0,1.0,1.0,109.7,1.0,2.0,3.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,61.0,1.0,1.0,0.0,64.05,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.75,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,75.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,1.0,1.0,1.0,100.4,0.0,2.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,84.9,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,1.0,0.0,1.0,65.45,0.0,1.0,2.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,50.0,1.0,1.0,0.0,25.2,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,24.75,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,1.0,89.4,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,1.0,1.0,1.0,85.15,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.05,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,1.0,1.0,1.0,75.5,1.0,1.0,3.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,70.95,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,68.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,29.6,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,72.0,1.0,0.0,1.0,104.9,0.0,2.0,3.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,20.35,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0,1.0,0.0,1.0,49.2,1.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.0,1.0,0.0,0.0,19.6,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,1.0,1.0,1.0,115.55,0.0,2.0,4.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,0.0,0.0,1.0,54.95,1.0,2.0,2.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0,0.0,1.0,93.45,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,48.0,1.0,1.0,1.0,103.25,1.0,2.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,94.9,0.0,1.0,3.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,74.2,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,75.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.85,1.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,61.0,1.0,1.0,1.0,98.3,0.0,1.0,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,59.0,0.0,0.0,1.0,64.05,0.0,2.0,3.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35.45,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,1.0,0.0,1.0,19.55,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,85.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,1.0,1.0,89.85,0.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,1.0,1.0,1.0,95.75,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,69.8,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,64.0,1.0,0.0,0.0,69.25,0.0,1.0,3.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,19.7,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,1.0,1.0,1.0,106.3,1.0,2.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,70.3,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,0.0,1.0,65.65,1.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,1.0,1.0,1.0,109.75,0.0,2.0,3.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0,0.0,0.0,20.8,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,54.85,0.0,2.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,86.8,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,20.4,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,1.0,1.0,1.0,110.45,1.0,2.0,3.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.85,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,91.45,0.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,72.0,1.0,1.0,0.0,24.3,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,1.0,1.0,0.0,109.55,0.0,2.0,3.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,0.0,0.0,62.85,0.0,0.0,3.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.9,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0,0.0,1.0,106.35,0.0,2.0,3.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,20.4,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.0,1.0,1.0,1.0,79.45,0.0,1.0,4.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,48.95,0.0,1.0,3.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,20.65,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,1.0,1.0,1.0,94.55,0.0,1.0,2.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,1.0,1.0,1.0,85.05,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,75.05,1.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,31.0,1.0,1.0,1.0,84.85,1.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.0,1.0,1.0,1.0,80.15,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,61.45,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,1.0,1.0,0.0,90.1,1.0,2.0,4.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,29.0,1.0,0.0,1.0,70.75,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,53.0,1.0,0.0,1.0,96.75,1.0,1.0,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,29.6,1.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,1.0,1.0,0.0,24.7,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,1.0,1.0,1.0,103.05,0.0,1.0,4.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,60.15,1.0,2.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,1.0,1.0,1.0,88.85,1.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,43.0,1.0,1.0,0.0,24.25,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,80.4,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69.0,0.0,0.0,1.0,43.95,1.0,1.0,2.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,74.4,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,70.1,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,71.0,1.0,0.0,1.0,109.7,1.0,2.0,4.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,20.25,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,68.25,0.0,1.0,3.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,69.8,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,50.1,1.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,58.0,1.0,1.0,1.0,105.2,1.0,2.0,2.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,68.0,1.0,1.0,0.0,25.25,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,90.35,0.0,2.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,50.95,1.0,2.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,0.0,1.0,95.15,1.0,2.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,40.0,1.0,0.0,1.0,20.4,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,44.55,0.0,2.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,1.0,0.0,0.0,20.05,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,1.0,69.3,1.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,67.0,1.0,0.0,1.0,90.6,0.0,1.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,1.0,44.85,0.0,1.0,2.0,1.0
